subject_id,subject_category,subject_label,subject_type,predicate_id,predicate_label,object_id,object_category,object_label,object_type,mapping_justification,comment,license,mapping_date,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label
http://rs.tdwg.org/ltc/terms/Address,Address,Address,rdfs class,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,https://schema.org/PostalAddress,ContactPoint,,rdf property,Object is a more specific type of address.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/addressCountry,Address,Address Country,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/addressCountry,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/addressLocality,Address,Address Locality,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/addressLocality,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/addressRegion,Address,Address Region,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/addressRegion,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
http://rs.tdwg.org/ltc/terms/addressType,Address,Address Type,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,https://schema.org/contactType,ContactPoint,,rdf property,"Address is a subtype of contact, so addressType is a more specific use of contactType.",,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
http://rs.tdwg.org/ltc/terms/hasIdentifier,Address,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/postalCode,Address,Postal Code,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/postalCode,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/postOfficeBoxNumber,Address,Post Office Box Number,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/postOfficeBoxNumber,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
https://schema.org/streetAddress,Address,Street Address,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,https://schema.org/streetAddress,PostalAddress,,rdf property,Concepts align exactly.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
http://rs.tdwg.org/ltc/terms/ChronometricAge,ChronometricAge,Chronometric Age,rdfs class,http://www.w3.org/2004/02/skos/core#exactMatch,closeMatch,http://rs.tdwg.org/chrono/terms/ChronometricAge,Chronometric Age Extension,, rdfs class,"The concepts align exactly, but LtC has introduced related class-level properties.",,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn
